team_name,wage_expenditure
Phoenix Suns,1301300797
Dallas Mavericks,1493116122
New Orleans Pelicans,1083438478
Brooklyn Nets,1538152451
New York Knicks,1721364492
Memphis Grizzlies,1367129938
Minnesota Timberwolves,1371717243
Los Angeles Lakers,1669793249
Cleveland Caveliers,1546675821
Golden State Warriors,1399911206
Orlando Magic,1457505264
Los Angeles Clippers,1327162786
Detroit Pistons,1239799470
Boston Celtic,1313431133
Chicago Bulls,1267306891
Milwaukee Bucks,1430460821
Indiana Pacers,1262566028
Washington Wizards,1479191278
Atlanta Hawks,1374883726
Utah Jazz,1241932171
Charlotte Hornets,534783684
Philadelphia 76ers,1230518756
Portland Trail Blazers,1632454251
San Antonio Spurs,1307410549
Oklahoma City Thunder,1444219765
Houston Rockets,1259103876
Sacramento Kings,1356296970
Toronto Raptors ,1305871066
Miami Heat,1295705551
Denver Nuggets,1272617810